id,pubtime,title,des,content,img,url,time,address,type,gname,nwound,nkill,total
1,2018-02-03 03:15,土耳其政府：安卡拉税务监察局大楼发生爆炸，为恐怖事件,据土耳其首都安卡拉地区行政长官星期五在声明中表示，安卡拉的丘库拉姆巴尔区税务监察局大楼发生爆炸，已经确定该起事件为恐怖袭击。犯罪嫌疑人与叙利亚“库尔德民主联盟党(PYD)”有关。,据土耳其首都安卡拉地区行政长官星期五在声明中表示，安卡拉的丘库拉姆巴尔区税务监察局大楼发生爆炸，已经确定该起事件为恐怖袭击。犯罪嫌疑人与叙利亚“库尔德民主联盟党(PYD)”有关。,http://sputniknews.cn/images/102231/72/1022317292.jpg;http://sputniknews.cn/images/102139/64/1021396450.jpg,http://sputniknews.cn/politics/201802031024623408/,,,None,unknown,0,0,"dead:0, hurt:0"
2,2017-08-14 12:33,布基纳法索首都咖啡馆袭击者被消灭,俄罗斯卫星通讯社莫斯科8月14日电 外媒援引布基纳法索通信部长的话报道称，该国安全部队消灭了3名袭击瓦加杜古咖啡馆的武装分子，袭击造成17人死亡。,俄罗斯卫星通讯社莫斯科8月14日电 外媒援引布基纳法索通信部长的话报道称，该国安全部队消灭了3名袭击瓦加杜古咖啡馆的武装分子，袭击造成17人死亡。,http://sputniknews.cn/images/102335/39/1023353990.jpg;http://sputniknews.cn/images/102335/33/1023353335.jpg,http://sputniknews.cn/politics/201708141023353767/,,,None,unknown,0,0,"dead:0, hurt:0"
3,2017-07-20 09:13,美国务院：2016年伊拉克恐袭的数量上升 而叙利亚下降,俄罗斯卫星通讯社华盛顿7月20日电 美国国务院反恐事物协调员斯贝瑞尔（Justin Siberell）表示，2016年世界上恐怖袭击及其受害者的数量比2015年下降；伊拉克恐袭数量有所上升，叙利亚有所下降。,俄罗斯卫星通讯社华盛顿7月20日电 美国国务院反恐事物协调员斯贝瑞尔（Justin Siberell）表示，2016年世界上恐怖袭击及其受害者的数量比2015年下降；伊拉克恐袭数量有所上升，叙利亚有所下降。,http://sputniknews.cn/images/102307/53/1023075310.jpg;http://sputniknews.cn/images/102109/42/1021094294.jpg,http://sputniknews.cn/society/201707201023159342/,,,None,unknown,0,0,"dead:0, hurt:0"
4,2018-01-22 14:51,印度强烈谴责喀布尔洲际酒店的恐怖袭击,俄罗斯卫星通讯社新德里1月22日电 俄罗斯卫星通讯社所获得的印度外交部发布的声明称，新德里强烈谴责恐怖分子对阿富汗首都喀布尔洲际酒店的攻击，并向遇难者亲人表示慰问。,俄罗斯卫星通讯社新德里1月22日电 俄罗斯卫星通讯社所获得的印度外交部发布的声明称，新德里强烈谴责恐怖分子对阿富汗首都喀布尔洲际酒店的攻击，并向遇难者亲人表示慰问。,http://sputniknews.cn/images/102452/65/1024526544.jpg;http://sputniknews.cn/images/102157/93/1021579362.jpg,http://sputniknews.cn/military/201801221024531361/,,,None,unknown,0,0,"dead:0, hurt:0"
5,2017-08-18 02:44,当地媒体称，巴塞罗那一名恐袭嫌疑人被击毙,俄罗斯卫星通讯社马德里8月17日电 据西班牙《La Vanguardia》报道称，巴塞罗那恐袭事件一名嫌疑人在与警方交火期间被击毙。,俄罗斯卫星通讯社马德里8月17日电 据西班牙《La Vanguardia》报道称，巴塞罗那恐袭事件一名嫌疑人在与警方交火期间被击毙。,http://sputniknews.cn/images/102338/80/1023388017.jpg;http://sputniknews.cn/images/102338/92/1023389228.jpg,http://sputniknews.cn/society/201708181023389437/,,,None,unknown,0,0,"dead:0, hurt:0"
6,2017-08-18 18:06,媒体：西班牙加泰罗尼亚警方正在搜寻2名恐袭涉案人员和货车,卫星通讯社马德里8月18日电 Cadena Ser电台报道，西班牙加泰罗尼亚自治区护法部门正在搜寻2名恐袭涉案嫌疑人以及恐怖分子驾驶的第三辆厢式货车。,卫星通讯社马德里8月18日电 Cadena Ser电台报道，西班牙加泰罗尼亚自治区护法部门正在搜寻2名恐袭涉案嫌疑人以及恐怖分子驾驶的第三辆厢式货车。,http://sputniknews.cn/images/102339/46/1023394630.jpg;http://sputniknews.cn/images/102225/36/1022253658.jpg,http://sputniknews.cn/politics/201708181023394818/,,,None,unknown,0,0,"dead:0, hurt:0"
7,2017-11-25 20:25,媒体：埃及北西奈省埋葬清真寺恐袭遇难者的工作持续了一夜,俄罗斯卫星通讯社开罗11月25日电 24日一座清真寺遭到恐怖袭击的埃及北西奈省比尔阿卜德镇埋葬可怕悲剧遇难者的工作持续了一夜，这次袭击造成235人死亡。,俄罗斯卫星通讯社开罗11月25日电 24日一座清真寺遭到恐怖袭击的埃及北西奈省比尔阿卜德镇埋葬可怕悲剧遇难者的工作持续了一夜，这次袭击造成235人死亡。,http://sputniknews.cn/images/102413/29/1024132936.jpg;http://sputniknews.cn/images/102412/97/1024129728.jpg,http://sputniknews.cn/society/201711251024132955/,,,None,unknown,0,0,"dead:0, hurt:0"
8,2017-08-18 23:43,5名恐怖分子驾车在坎布里尔斯冲撞人群 一名警官击毙其中4人,俄罗斯卫星通讯社莫斯科8月18日电 据西班牙《世界报》（El Mundo）报道，5名恐怖分子在距巴塞罗那120公里的旅游城市坎布里尔斯驾车冲撞人群，一名加泰罗尼亚警官击毙其中的4名。,俄罗斯卫星通讯社莫斯科8月18日电 据西班牙《世界报》（El Mundo）报道，5名恐怖分子在距巴塞罗那120公里的旅游城市坎布里尔斯驾车冲撞人群，一名加泰罗尼亚警官击毙其中的4名。,http://sputniknews.cn/images/102339/93/1023399342.jpg;http://sputniknews.cn/images/102339/00/1023390005.jpg,http://sputniknews.cn/politics/201708181023399322/,,,None,unknown,0,0,"dead:0, hurt:0"
9,2017-08-18 01:26,巴塞罗那市中心发生恐怖袭击 有人员伤亡,巴塞罗那警方称市中心发生恐怖袭击。据媒体报道，死亡人数可能会达到13人，50人受伤。,巴塞罗那警方称市中心发生恐怖袭击。据媒体报道，死亡人数可能会达到13人，50人受伤。,http://sputniknews.cn/images/102338/82/1023388243.jpg;http://sputniknews.cn/images/102338/85/1023388502.jpg,http://sputniknews.cn/society/201708181023388810/,,,,unknown,0,0,"dead:0, hurt:0"
10,2018-02-02 13:11,日本外务省提醒该国公民赴平昌冬奥会旅游期间注意安全,俄罗斯卫星通讯社东京2月2日电 日本外务省网站发布消息称，鉴于朝鲜威胁和犯罪率，提醒该国公民赴平昌冬奥会旅游期间注意安全。,俄罗斯卫星通讯社东京2月2日电 日本外务省网站发布消息称，鉴于朝鲜威胁和犯罪率，提醒该国公民赴平昌冬奥会旅游期间注意安全。,http://sputniknews.cn/images/102450/26/1024502699.jpg;http://sputniknews.cn/images/102156/40/1021564034.jpg,http://sputniknews.cn/society/201802021024617246/,,,None,unknown,0,0,"dead:0, hurt:0"
